"[[0], [1]]",[]
"[[0, 1], [2, 3]]","[(1, 2)]"
"[[0, 1, 2], [3, 4, 5]]","[(2, 4), (0, 3)]"
"[[0, 1, 2, 3], [4, 5, 6, 7]]","[(1, 7), (2, 5), (0, 4)]"
"[[0, 1, 2, 3, 4], [5, 6, 7, 8, 9]]","[(2, 7), (0, 9), (1, 6), (3, 5)]"
"[[0, 1, 2, 3, 4, 5], [6, 7, 8, 9, 10, 11]]","[(0, 10), (5, 7), (2, 6), (4, 11), (1, 9)]"
"[[0, 1, 2, 3, 4, 5, 6], [7, 8, 9, 10, 11, 12, 13]]","[(1, 8), (0, 9), (5, 13), (2, 12), (6, 10), (4, 11)]"
"[[0, 1, 2, 3, 4, 5, 6, 7], [8, 9, 10, 11, 12, 13, 14, 15]]","[(6, 15), (0, 10), (5, 14), (1, 8), (4, 12), (7, 13), (2, 11)]"
"[[0, 1, 2, 3, 4, 5, 6, 7, 8], [9, 10, 11, 12, 13, 14, 15, 16, 17]]","[(3, 17), (4, 9), (2, 16), (6, 14), (8, 10), (7, 15), (5, 12), (0, 11)]"
"[[0], [1], [2]]","[(1, 2)]"
"[[0, 1], [2, 3], [4, 5]]","[(1, 2), (2, 5)]"
"[[0, 1, 2], [3, 4, 5], [6, 7, 8]]","[(5, 8), (3, 7), (2, 5), (1, 3)]"
"[[0, 1, 2, 3], [4, 5, 6, 7], [8, 9, 10, 11]]","[(4, 10), (2, 4), (5, 11), (1, 5), (0, 6), (6, 9)]"
"[[0, 1, 2, 3, 4], [5, 6, 7, 8, 9], [10, 11, 12, 13, 14]]","[(6, 12), (8, 13), (5, 10), (3, 9), (2, 6), (4, 8), (0, 5), (9, 14)]"
"[[0, 1, 2, 3, 4, 5], [6, 7, 8, 9, 10, 11], [12, 13, 14, 15, 16, 17]]","[(6, 12), (10, 15), (8, 14), (7, 17), (11, 16), (1, 11), (3, 10), (5, 7), (0, 6), (2, 8)]"
"[[0, 1, 2, 3, 4, 5, 6], [7, 8, 9, 10, 11, 12, 13], [14, 15, 16, 17, 18, 19, 20]]","[(4, 10), (7, 17), (5, 11), (9, 19), (3, 7), (13, 20), (1, 8), (0, 9), (8, 16), (2, 13), (11, 15), (10, 18)]"
"[[0, 1, 2, 3, 4, 5, 6, 7], [8, 9, 10, 11, 12, 13, 14, 15], [16, 17, 18, 19, 20, 21, 22, 23]]","[(9, 16), (3, 14), (5, 8), (6, 11), (7, 10), (8, 23), (15, 17), (10, 20), (2, 9), (4, 15), (1, 13), (13, 19), (11, 18), (14, 21)]"
"[[0, 1, 2, 3, 4, 5, 6, 7, 8], [9, 10, 11, 12, 13, 14, 15, 16, 17], [18, 19, 20, 21, 22, 23, 24, 25, 26]]","[(15, 21), (6, 15), (4, 13), (0, 10), (12, 23), (16, 26), (13, 20), (2, 16), (17, 19), (9, 25), (1, 17), (8, 9), (14, 22), (11, 24), (7, 11), (5, 12), (10, 18)]"
"[[0], [1], [2], [3]]","[(0, 1)]"
"[[0, 1], [2, 3], [4, 5], [6, 7]]","[(1, 2), (3, 4), (5, 6), (2, 5), (4, 7)]"
