Clauses, SAT Time Taken (us), UNSAT Time Taken (us)
40,,27
40,5,
40,16,
40,19,
40,3,
40,,18
40,,19
40,,18
40,10,
40,5,
128,126,
128,323,
128,,427
128,,326
128,75,
128,,320
128,132,
128,296,
128,,333
128,145,
288,,5522
288,,5178
288,326,
288,,6130
288,,5026
288,5934,
288,,6149
288,3068,
288,,6387
288,2172,
512,98433,
512,86216,
512,,77470
512,93530,
512,,85506
512,,112032
512,28731,
512,,98047
512,,114649
512,,112632
648,,372843
648,,343025
648,,353248
648,,402294
648,,380745
648,39839,
648,,383285
648,1947,
648,,335467
648,,333062
