Clauses, SAT Time Taken (us), UNSAT Time Taken (us)
10,,17
10,,8
10,8,
10,,7
10,7,
10,,6
10,,5
10,,5
10,6,
10,,6
16,,12
16,,12
16,,9
16,,9
16,,8
16,,8
16,,9
16,,8
16,,7
16,,8
24,,12
24,,14
24,,13
24,,14
24,,11
24,,13
24,,12
24,,13
24,,11
24,,12
32,,18
32,,16
32,,15
32,,15
32,,15
32,,17
32,,17
32,,20
32,,16
32,,18
36,,17
36,,19
36,,19
36,,20
36,,29
36,,18
36,,17
36,,17
36,,17
36,,18
40,,20
40,,18
40,,19
40,,20
40,,20
40,,19
40,,20
40,,21
40,,22
40,,20
44,,21
44,,21
44,,21
44,,21
44,,25
44,,23
44,,22
44,,22
44,,24
44,,23
48,,25
48,,25
48,,24
48,,25
48,,23
48,,24
48,,23
48,,22
48,,23
48,,22
20,,12
20,,11
20,,11
20,,10
20,,12
20,,11
20,,11
20,,11
20,,11
20,,11
40,,23
40,,22
40,,22
40,,20
40,,25
40,,24
40,,24
40,,23
40,,26
40,,26
60,,31
60,,35
60,,31
60,,29
60,,28
60,,29
60,,35
60,,30
60,,33
60,,30
80,,39
80,,39
80,,39
80,,38
80,,39
80,,41
80,,39
80,,39
80,,38
80,,38
90,,45
90,,48
90,,46
90,,44
90,,49
90,,43
90,,43
90,,45
90,,48
90,,46
100,,48
100,,52
100,,47
100,,48
100,,48
100,,48
100,,56
100,,50
100,,49
100,,49
110,,54
110,,54
110,,53
110,,54
110,,53
110,,54
110,,53
110,,56
110,,61
110,,53
120,,58
120,,63
120,,58
120,,59
120,,64
120,,59
120,,58
120,,60
120,,58
120,,60
40,,24
40,,25
40,,29
40,,26
40,,28
40,,26
40,,23
40,,25
40,,21
40,28,
80,,52
80,,49
80,,49
80,,50
80,,54
80,,49
80,,56
80,,46
80,,45
80,,47
120,,69
120,,70
120,,75
120,,74
120,,66
120,,69
120,,70
120,,70
120,,69
120,,66
160,,90
160,,155
160,,91
160,,95
160,,92
160,,94
160,,90
160,,101
160,,97
160,,93
180,,100
180,,102
180,,104
180,,107
180,,100
180,,108
180,,100
180,,103
180,,99
180,,104
200,,110
200,,109
200,,114
200,,109
200,,109
200,,109
200,,110
200,,116
200,,113
200,,116
220,,141
220,,126
220,,126
220,,130
220,,128
220,,130
220,,129
220,,128
220,,128
220,,134
240,,134
240,,134
240,,134
240,,134
240,,141
240,,142
240,,139
240,,139
240,,133
240,,133
40,,27
40,32,
40,,28
40,32,
40,,25
40,,25
40,,27
40,32,
40,,30
40,,28
80,,66
80,,60
80,,60
80,,51
80,,53
80,,56
80,,52
80,,52
80,,52
80,,54
120,,88
120,,79
120,,87
120,,79
120,,82
120,,79
120,,81
120,,78
120,,80
120,,90
160,,103
160,,108
160,,103
160,,112
160,,130
160,,109
160,,107
160,,103
160,,103
160,,114
180,,127
180,,120
180,,133
180,,120
180,,154
180,,127
180,,120
180,,118
180,,122
180,,121
200,,133
200,,131
200,,133
200,,132
200,,133
200,,146
200,,136
200,,134
200,,155
200,,153
220,,165
220,,186
220,,159
220,,150
220,,154
220,,160
220,,149
220,,143
220,,150
220,,154
240,,172
240,,161
240,,177
240,,175
240,,224
240,,221
240,,189
240,,175
240,,177
240,,176
40,40,
40,39,
40,,34
40,35,
40,36,
40,35,
40,36,
40,,34
40,,32
40,,31
80,,66
80,,66
80,,64
80,,61
80,76,
80,,74
80,,64
80,,76
80,,76
80,,69
120,,97
120,,91
120,,104
120,,106
120,113,
120,,113
120,,93
120,114,
120,,96
120,,100
160,,127
160,,127
160,,132
160,,124
160,,131
160,,129
160,,138
160,,153
160,,142
160,,132
180,,144
180,,145
180,,144
180,,140
180,,144
180,,141
180,,138
180,,138
180,,164
180,,139
200,,160
200,,159
200,,183
200,,160
200,,158
200,,173
200,,170
200,,164
200,,171
200,,159
220,,173
220,,170
220,214,
220,,169
220,,187
220,,183
220,,188
220,,176
220,,176
220,,182
240,,202
240,,210
240,,208
240,,199
240,,217
240,,189
240,,212
240,,185
240,,206
240,,205
